Topology,Try,Node,Sequence Number,Timestamp,States Count
China Telecom,2,s25,3,1656873780678,138
China Telecom,2,s6,1,1656873665767,1
China Telecom,2,s6,1,1656873668276,48
China Telecom,2,s6,2,1656873731258,49
China Telecom,2,s6,2,1656873733702,96
China Telecom,2,s6,3,1656873778110,97
China Telecom,2,s6,3,1656873780635,143
China Telecom,2,s40,1,1656873665498,1
China Telecom,2,s40,1,1656873668008,52
China Telecom,2,s40,2,1656873730987,53
China Telecom,2,s40,2,1656873733439,103
China Telecom,2,s40,3,1656873777847,104
China Telecom,2,s40,3,1656873780367,153
China Telecom,2,s41,1,1656873665597,1
China Telecom,2,s41,1,1656873668103,69
China Telecom,2,s41,2,1656873731079,70
China Telecom,2,s41,2,1656873733534,137
China Telecom,2,s41,3,1656873777940,138
China Telecom,2,s41,3,1656873780557,205
China Telecom,2,s18,1,1656873665767,1
China Telecom,2,s18,1,1656873668269,42
China Telecom,2,s18,2,1656873731269,43
China Telecom,2,s18,2,1656873733690,85
China Telecom,2,s18,3,1656873778120,86
China Telecom,2,s18,3,1656873780628,127
China Telecom,2,s12,1,1656873665810,1
China Telecom,2,s12,1,1656873668318,46
China Telecom,2,s12,2,1656873731298,47
China Telecom,2,s12,2,1656873733739,92
China Telecom,2,s12,3,1656873778156,93
China Telecom,2,s12,3,1656873780672,138
China Telecom,2,s30,1,1656873665766,1
China Telecom,2,s30,1,1656873668260,42
China Telecom,2,s30,2,1656873731266,43
China Telecom,2,s30,2,1656873733685,85
China Telecom,2,s30,3,1656873778119,86
China Telecom,2,s30,3,1656873780625,127
China Telecom,2,s5,1,1656873665626,1
China Telecom,2,s5,1,1656873668129,46
China Telecom,2,s5,2,1656873731111,47
China Telecom,2,s5,2,1656873733552,92
China Telecom,2,s5,3,1656873777971,93
China Telecom,2,s5,3,1656873780524,138
China Telecom,2,s17,1,1656873665632,1
China Telecom,2,s17,1,1656873668205,48
China Telecom,2,s17,2,1656873731292,49
China Telecom,2,s17,2,1656873733713,92
China Telecom,2,s17,3,1656873778143,93
China Telecom,2,s17,3,1656873780651,135
China Telecom,2,s32,1,1656873665877,1
China Telecom,2,s32,1,1656873668385,46
China Telecom,2,s32,2,1656873731364,47
China Telecom,2,s32,2,1656873733810,92
China Telecom,2,s32,3,1656873778228,93
China Telecom,2,s32,3,1656873780741,138
China Telecom,2,s36,1,1656873665540,1
China Telecom,2,s36,1,1656873668057,52
China Telecom,2,s36,2,1656873731027,53
China Telecom,2,s36,2,1656873733476,103
China Telecom,2,s36,3,1656873777885,104
China Telecom,2,s36,3,1656873780424,153
China Telecom,2,s28,1,1656873665663,1
China Telecom,2,s28,1,1656873668173,46
China Telecom,2,s28,2,1656873731149,47
China Telecom,2,s28,2,1656873733592,92
